Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
10,ETS,99%,BU_IR,0.9987818019959706,29.803930689197315,0.5465731124129467
11,ETS,99%,BU_IR,0.9882826531727811,9.95684499214278,2.3801325160948927
12,ETS,99%,BU_IR,0.945332193224945,3.0428178176424843,6.234707434793849
10,ETS_BU,90%,BU_IR,0.9849482265848287,16.59789136872041,0.5236200549672533
11,ETS_BU,90%,BU_IR,0.9464500460728732,5.625025593059793,1.0060962496993315
12,ETS_BU,90%,BU_IR,0.8762041418732137,1.8038341108377325,1.3487667711879492
10,ETS_BU,95%,BU_IR,0.9939910040762779,21.17073480663453,0.45045878099077985
11,ETS_BU,95%,BU_IR,0.9687602492620532,7.11273056424758,1.210713205682231
12,ETS_BU,95%,BU_IR,0.9070854612753596,2.2241197018291037,2.0789240802464555
10,ETS_BU,99%,BU_IR,0.9987818019959706,29.80393070654969,0.5465731111866956
11,ETS_BU,99%,BU_IR,0.9882826531727811,9.956844997897056,2.380132512731505
12,ETS_BU,99%,BU_IR,0.945332193224945,3.04281781934384,6.234707431317044
10,ETS_TD,90%,BU_IR,0.9868809445719908,16.844683971915533,0.4416504336390256
11,ETS_TD,90%,BU_IR,0.9483866685408174,5.704682556137602,0.9553079007048434
12,ETS_TD,90%,BU_IR,0.8784250105420981,1.8262400673424892,1.320110074722327
10,ETS_TD,95%,BU_IR,0.9947640912711427,21.422848735632567,0.370139731646073
11,ETS_TD,95%,BU_IR,0.9703688953442972,7.194461141514554,1.1400996069856921
12,ETS_TD,95%,BU_IR,0.909036920770276,2.247305110683154,2.0323984784426563
10,ETS_TD,99%,BU_IR,0.9989926439582064,30.0597326009051,0.45560517721648497
11,ETS_TD,99%,BU_IR,0.9890440269252995,10.040885360224781,2.2283432247903447
12,ETS_TD,99%,BU_IR,0.9466358993581033,3.0669893431702575,6.086152742616436
10,ETS_MinT,90%,BU_IR,0.985006793796561,15.65550953477429,0.5015912176141181
11,ETS_MinT,90%,BU_IR,0.9435568258133034,5.315673087026976,1.0417262514579604
12,ETS_MinT,90%,BU_IR,0.8707327929531931,1.7161309040517272,1.4053786769301033
10,ETS_MinT,95%,BU_IR,0.993803588998735,19.959951900273524,0.4411642418826502
11,ETS_MinT,95%,BU_IR,0.9665385996970123,6.71307956479025,1.2825377765767112
12,ETS_MinT,95%,BU_IR,0.9020217401489949,2.1091508419129275,2.1940738100142094
10,ETS_MinT,99%,BU_IR,0.9986178138031204,28.087190019424668,0.5868997092301989
11,ETS_MinT,99%,BU_IR,0.9871972075153446,9.386872131808554,2.6187036444427894
12,ETS_MinT,99%,BU_IR,0.9412254603382842,2.875973920393834,6.71692689760844
10,LGBM,90%,TD_IR,0.8734831092161365,6.5121866347970006,3.8611732907430487
11,LGBM,90%,TD_IR,0.767511596307923,2.545947911472,4.6640290624380185
12,LGBM,90%,TD_IR,0.7006922644426744,1.0608538892416017,4.072834360931425
10,LGBM,95%,TD_IR,0.913859344984304,8.119451682961822,5.253859664525724
11,LGBM,95%,TD_IR,0.8085008355588874,3.023031180861782,7.765684999124225
12,LGBM,95%,TD_IR,0.7249590029517875,1.1885623127171445,7.681111710450867
10,LGBM,99%,TD_IR,0.959049805556857,11.27255752995372,12.375460523944508
11,LGBM,99%,TD_IR,0.8690085742397976,3.9798578812404393,26.13668526231224
12,LGBM,99%,TD_IR,0.766354308204095,1.4418316434256584,32.38055920499285
10,LGBM_BU,90%,TD_IR,0.8950241296912337,6.736743446539252,3.775207256285873
11,LGBM_BU,90%,TD_IR,0.7922464820628153,2.590788551310073,4.365269040934851
12,LGBM_BU,90%,TD_IR,0.7113702384856861,1.0618817989774287,3.8713878145401193
10,LGBM_BU,95%,TD_IR,0.9292859485545613,8.374024202411912,5.081158672252495
11,LGBM_BU,95%,TD_IR,0.8314943228849427,3.081790202896739,7.21224679718009
12,LGBM_BU,95%,TD_IR,0.735309000609099,1.1931516723354898,7.267351657016921
10,LGBM_BU,99%,TD_IR,0.9674014899498665,11.585132228734658,11.695282616046049
11,LGBM_BU,99%,TD_IR,0.8872659263771103,4.063525193820255,23.878058178643514
12,LGBM_BU,99%,TD_IR,0.7772384388324041,1.4533113991948141,30.354547717418082
10,LGBM_TD,90%,TD_IR,0.8734831092161365,6.5121866347970006,3.8611732907430487
11,LGBM_TD,90%,TD_IR,0.7700495088163176,2.5301562147434935,4.521903791881457
12,LGBM_TD,90%,TD_IR,0.7045565290727639,1.0452536532662466,3.932432237153226
10,LGBM_TD,95%,TD_IR,0.913859344984304,8.119451682961822,5.253859664525724
11,LGBM_TD,95%,TD_IR,0.8112222586640429,3.009623015093462,7.51092984952616
12,LGBM_TD,95%,TD_IR,0.7287330740758095,1.1738823452818399,7.40219232918007
10,LGBM_TD,99%,TD_IR,0.959049805556857,11.27255752995372,12.375460523944508
11,LGBM_TD,99%,TD_IR,0.8716050539599244,3.970445049753412,25.20481494509643
12,LGBM_TD,99%,TD_IR,0.7700475565759265,1.4289268917103837,31.102988785180717
10,LGBM_MinT,90%,TD_IR,0.8716089584407065,6.547446913036178,3.7727433981018903
11,LGBM_MinT,90%,TD_IR,0.7693076574677099,2.5339456769775572,4.420751486390111
