Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
12,ETS_MinT,99%,BU_IR,0.9412254603382842,2.875973920393834,6.71692689760844
10,ETS,90%,TD_IR,0.8645574661481517,7.173758316268136,4.402603764192869
11,ETS,90%,TD_IR,0.7834653047837699,2.6976542511182937,4.225147899324525
12,ETS,90%,TD_IR,0.7443002389542238,1.0364960204963916,3.3123420762454905
10,ETS,95%,TD_IR,0.9054725202642552,8.925418875524283,6.041404366719854
11,ETS,95%,TD_IR,0.8249426041325024,3.2352743247487306,6.956360747478691
12,ETS,95%,TD_IR,0.7682015180621281,1.184465994065805,6.150698460426154
10,ETS,99%,TD_IR,0.9535796279810712,12.361369914372212,14.30589227600072
11,ETS,99%,TD_IR,0.8832130753252433,4.303770795169199,22.916732306134588
12,ETS,99%,TD_IR,0.807337300285808,1.4765604290151324,25.23250954781324
10,ETS_BU,90%,TD_IR,0.8621913507941714,7.140424406727775,4.579432221873717
11,ETS_BU,90%,TD_IR,0.7839650783238845,2.6708302680811835,4.142676599838564
12,ETS_BU,90%,TD_IR,0.7482207281075762,1.018138561773544,3.194808312094267
10,ETS_BU,95%,TD_IR,0.9038092114510612,8.90974852422431,6.333159031845297
11,ETS_BU,95%,TD_IR,0.8251924909025597,3.217150558904182,6.808506309707251
12,ETS_BU,95%,TD_IR,0.7725483765168908,1.1694494574547771,5.924333398799099
10,ETS_BU,99%,TD_IR,0.9520920208030736,12.380960827326843,15.219930895592125
11,ETS_BU,99%,TD_IR,0.8839236908275937,4.301832902648711,22.38306035896716
12,ETS_BU,99%,TD_IR,0.8115588249074638,1.4677835614634824,24.261053483908167
10,ETS_TD,90%,TD_IR,0.8645574661481517,7.173758316268136,4.402603764192869
11,ETS_TD,90%,TD_IR,0.7838791797466773,2.687708384601519,4.135635100673552
12,ETS_TD,90%,TD_IR,0.7464121726092864,1.0278284015500618,3.23433350572852
10,ETS_TD,95%,TD_IR,0.9054725202642552,8.925418875524283,6.041404366719854
11,ETS_TD,95%,TD_IR,0.8255477986537351,3.2268321523546817,6.7959594719917575
12,ETS_TD,95%,TD_IR,0.7700182729700604,1.1767809373266291,6.004682382381802
10,ETS_TD,99%,TD_IR,0.9535796279810712,12.361369914372212,14.30589227600072
11,ETS_TD,99%,TD_IR,0.883927595308376,4.298319683652428,22.37707226597427
12,ETS_TD,99%,TD_IR,0.8092161364381765,1.4705230979903865,24.634813776363377
10,ETS_MinT,90%,TD_IR,0.8493651314248232,6.214189675847441,4.773876939645119
11,ETS_MinT,90%,TD_IR,0.7669259241906011,2.3908453713781075,4.466331628075679
12,ETS_MinT,90%,TD_IR,0.7298071967389776,0.9484998584387384,3.4211157116504625
10,ETS_MinT,95%,TD_IR,0.893290540223961,7.764261599484028,6.776200588119731
11,ETS_MinT,95%,TD_IR,0.8078331693451405,2.8624973355947585,7.472526108941494
12,ETS_MinT,95%,TD_IR,0.7543222602258352,1.0783451266307342,6.414080425776276
10,ETS_MinT,99%,TD_IR,0.9450522419528652,10.815532363154604,17.022361340015422
11,ETS_MinT,99%,TD_IR,0.868348716987615,3.8044868631961015,25.405751918983903
12,ETS_MinT,99%,TD_IR,0.7934920114323197,1.3352981414916083,26.82298174644015
10,ETS,90%,MinT_IR,0.953790469943307,11.683135435374282,1.444557530416141
11,ETS,90%,MinT_IR,0.8970193193709101,4.092710890102487,1.914808962862861
12,ETS,90%,MinT_IR,0.8479501475893736,1.504450725730757,1.7378238653052165
10,ETS,95%,MinT_IR,0.9765379749800872,14.850633964432776,1.516379350982618
11,ETS,95%,MinT_IR,0.9305236689625014,5.101250033648821,2.663339859045871
12,ETS,95%,MinT_IR,0.8739891299255025,1.786018692873074,2.9573836108939933
10,ETS,99%,MinT_IR,0.9927259523028628,20.893524289266765,2.344129782056388
11,ETS,99%,MinT_IR,0.9657069452904152,7.060528404574379,6.671177755577709
12,ETS,99%,MinT_IR,0.9112109356697746,2.3343639121427486,10.5365879704709
10,ETS_BU,90%,MinT_IR,0.9511198050883194,11.510670368794576,1.5687162783353523
11,ETS_BU,90%,MinT_IR,0.8933412984741289,4.023510808818527,1.996119829685016
12,ETS_BU,90%,MinT_IR,0.8428208311858689,1.4645458805290177,1.8059681913676344
10,ETS_BU,95%,MinT_IR,0.9752026425525934,14.642989674985492,1.6692985211707907
11,ETS_BU,95%,MinT_IR,0.9275484546065064,5.019382989394892,2.7896760071897715
12,ETS_BU,95%,MinT_IR,0.8695204516703369,1.7417877155844583,3.0819600259266204
10,ETS_BU,99%,MinT_IR,0.9921637070702338,20.62641916393081,2.650598049263401
11,ETS_BU,99%,MinT_IR,0.9641295350544284,6.957218362867294,7.05723252608342
12,ETS_BU,99%,MinT_IR,0.9076980743100782,2.282335278248016,11.032499998231268
10,ETS_TD,90%,MinT_IR,0.9540013119055428,11.641153988707789,1.415793987843963
11,ETS_TD,90%,MinT_IR,0.8969256118321386,4.078212305113028,1.923036640189441
12,ETS_TD,90%,MinT_IR,0.8464672257883147,1.494879477073873,1.7564599478274383
10,ETS_TD,95%,MinT_IR,0.9768776648081338,14.768233229832074,1.4762871083093974
11,ETS_TD,95%,MinT_IR,0.9302347373846226,5.072772031539724,2.6808945055210347
12,ETS_TD,95%,MinT_IR,0.8728505833294289,1.7719822550979143,2.9965188743379945
10,ETS_TD,99%,MinT_IR,0.9928548001686736,20.734828373681893,2.286507378715214
11,ETS_TD,99%,MinT_IR,0.9654102047509722,7.005471677561939,6.730447321719766
12,ETS_TD,99%,MinT_IR,0.910048962189008,2.3117963917394078,10.718304366104055
10,ETS_MinT,90%,MinT_IR,0.9490113854659608,10.56003456545967,1.5540858536680426
11,ETS_MinT,90%,MinT_IR,0.8871644098767746,3.729037996230689,2.085978200870869
12,ETS_MinT,90%,MinT_IR,0.8380581455278077,1.405144265254192,1.849469598010655
10,ETS_MinT,95%,MinT_IR,0.9737267488169424,13.452115850487663,1.697453731838724
11,ETS_MinT,95%,MinT_IR,0.9226405222633496,4.643591362857467,2.973284174599416
12,ETS_MinT,95%,MinT_IR,0.864862015649159,1.6604162471844204,3.1902786166703336
10,ETS_MinT,99%,MinT_IR,0.9911680644707866,18.97887815571432,2.827482074970544
11,ETS_MinT,99%,MinT_IR,0.9605139858501616,6.426703029193665,7.769076927973105
12,ETS_MinT,99%,MinT_IR,0.9027421168533007,2.1565210304871734,11.643204632408189
