Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs,Group
12,ETS,90%,BU_IR,0.8757259604444313,1.8398554468979138,1.3731681638146402,FOODS
10,ETS,95%,BU_IR,0.9936872452530072,27.610537807858346,0.579270742467932,FOODS
11,ETS,95%,BU_IR,0.9697838657692672,7.746799271159568,1.2696461453439376,FOODS
12,ETS,95%,BU_IR,0.9069521533940815,2.2687506031459876,2.114569316941869,FOODS
10,ETS,99%,BU_IR,0.9988070384730092,38.86462426885011,0.7585378082058584,FOODS
11,ETS,99%,BU_IR,0.9887382690302399,10.84813521482189,2.470973311847393,FOODS
12,ETS,99%,BU_IR,0.9453835346729591,3.1042612066492765,6.329341476179137,FOODS
10,ETS_BU,90%,BU_IR,0.9840689929416443,21.65160625557294,0.6977181651301476,FOODS
11,ETS_BU,90%,BU_IR,0.9475068726893544,6.124110237723063,1.0622277948849739,FOODS
12,ETS_BU,90%,BU_IR,0.8757259604444313,1.839855447772392,1.3731681627689976,FOODS
10,ETS_BU,95%,BU_IR,0.9936872452530072,27.61053782035211,0.5792707387865524,FOODS
11,ETS_BU,95%,BU_IR,0.9697838657692672,7.746799275387537,1.269646143939505,FOODS
12,ETS_BU,95%,BU_IR,0.9069521533940815,2.268750604313135,2.1145693148947724,FOODS
10,ETS_BU,99%,BU_IR,0.9988070384730092,38.86462428689496,0.7585378103607937,FOODS
11,ETS_BU,99%,BU_IR,0.9887382690302399,10.848135220883405,2.470973308330499,FOODS
12,ETS_BU,99%,BU_IR,0.9453835346729591,3.104261208423747,6.329341472780086,FOODS
10,LGBM,90%,TD_IR,0.8685008450144149,8.501711836441439,4.941229299783646,FOODS
11,LGBM,90%,TD_IR,0.7671769836003413,2.748665939636589,4.942177790061266,FOODS
12,LGBM,90%,TD_IR,0.6991976096484719,1.0820014749912663,4.149311979723976,FOODS
10,LGBM,95%,TD_IR,0.9105527388408391,10.628379363057695,6.655201975378476,FOODS
11,LGBM,95%,TD_IR,0.8084225992985117,3.2672376668960457,8.221288085544828,FOODS
